name	taxonomy_id	taxonomy_lvl	119_S24.O.bracken_num	119_S24.O.bracken_frac	120_S25.O.bracken_num	120_S25.O.bracken_frac	140_S26.O.bracken_num	140_S26.O.bracken_frac	147_S27.O.bracken_num	147_S27.O.bracken_frac	177_S28.O.bracken_num	177_S28.O.bracken_frac	178_S29.O.bracken_num	178_S29.O.bracken_frac	179_S31.O.bracken_num	179_S31.O.bracken_frac	209_S30.O.bracken_num	209_S30.O.bracken_frac	214_S32.O.bracken_num	214_S32.O.bracken_frac	82_S21.O.bracken_num	82_S21.O.bracken_frac	88_S22.O.bracken_num	88_S22.O.bracken_frac	99_S23.O.bracken_num	99_S23.O.bracken_frac	BLB_S18.O.bracken_num	BLB_S18.O.bracken_frac	BLB_WG4.O.bracken_num	BLB_WG4.O.bracken_frac	BLR_S17.O.bracken_num	BLR_S17.O.bracken_frac	BLR_WG4.O.bracken_num	BLR_WG4.O.bracken_frac	BLS_S16.O.bracken_num	BLS_S16.O.bracken_frac	DC06_S1.O.bracken_num	DC06_S1.O.bracken_frac	DC10_S2.O.bracken_num	DC10_S2.O.bracken_frac	DC11_S3.O.bracken_num	DC11_S3.O.bracken_frac	DC17_S4.O.bracken_num	DC17_S4.O.bracken_frac	DM13_S9.O.bracken_num	DM13_S9.O.bracken_frac	DM14_S10.O.bracken_num	DM14_S10.O.bracken_frac	DM15_S11.O.bracken_num	DM15_S11.O.bracken_frac	DM16_S12.O.bracken_num	DM16_S12.O.bracken_frac	GG01_S14.O.bracken_num	GG01_S14.O.bracken_frac	GH01_S13.O.bracken_num	GH01_S13.O.bracken_frac	GN13_S5.O.bracken_num	GN13_S5.O.bracken_frac	GN15_S6.O.bracken_num	GN15_S6.O.bracken_frac	GN18_S7.O.bracken_num	GN18_S7.O.bracken_frac	GN19_S8.O.bracken_num	GN19_S8.O.bracken_frac	NEG_S33.O.bracken_num	NEG_S33.O.bracken_frac	OC01_S15.O.bracken_num	OC01_S15.O.bracken_frac
Thermococcales	2258	O	333	0.00005	250	0.00004	300	0.00003	422	0.00004	363	0.00003	280	0.00003	238	0.00003	567	0.00006	299	0.00003	285	0.00003	324	0.00003	1423	0.00026	1009	0.00011	3045	0.00031	654	0.00011	2231	0.00023	1080	0.00010	792	0.00007	299	0.00003	4843	0.00039	1022	0.00010	291	0.00005	1731	0.00018	571	0.00007	479	0.00005	1322	0.00019	419	0.00004	720	0.00010	318	0.00003	818	0.00007	935	0.00010	0	0.00000	547	0.00007
Thermoplasmatales	2301	O	192	0.00003	127	0.00002	278	0.00003	323	0.00003	311	0.00003	128	0.00001	245	0.00003	320	0.00003	361	0.00004	439	0.00005	411	0.00004	248	0.00005	325	0.00004	1212	0.00013	99	0.00002	2172	0.00022	2648	0.00024	602	0.00005	208	0.00002	821	0.00007	164	0.00002	171	0.00003	409	0.00004	285	0.00003	420	0.00004	390	0.00006	503	0.00004	127	0.00002	425	0.00004	507	0.00005	253	0.00003	0	0.00000	272	0.00004
Ktedonobacterales	388448	O	80	0.00001	91	0.00001	209	0.00002	225	0.00002	88	0.00001	52	0.00001	57	0.00001	102	0.00001	69	0.00001	40	0.00000	63	0.00001	70	0.00001	204	0.00002	265	0.00003	134	0.00002	75	0.00001	332	0.00003	199	0.00002	40	0.00000	202	0.00002	149	0.00001	67	0.00001	280	0.00003	313	0.00004	235	0.00002	109	0.00002	69	0.00001	91	0.00001	45	0.00000	118	0.00001	143	0.00002	0	0.00000	146	0.00002
Fervidicoccales	685948	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00000	0	0.00000	84	0.00001	0	0.00000	23	0.00000	0	0.00000	0	0.00000	132	0.00001	0	0.00000	724	0.00006	20	0.00000	0	0.00000	76	0.00001	55	0.00001	179	0.00002	0	0.00000	12	0.00000	132	0.00002	0	0.00000	1432	0.00013	0	0.00000	0	0.00000	0	0.00000
Ulotrichales	31306	O	0	0.00000	0	0.00000	0	0.00000	34	0.00000	25	0.00000	38	0.00000	48	0.00001	76	0.00001	33	0.00000	0	0.00000	111	0.00001	239	0.00004	31	0.00000	139	0.00001	18	0.00000	41	0.00000	58	0.00001	2047	0.00018	251	0.00002	77	0.00001	371	0.00003	0	0.00000	0	0.00000	0	0.00000	43	0.00000	90	0.00001	55	0.00000	66	0.00001	603	0.00006	151	0.00001	58	0.00001	0	0.00000	54	0.00001
Caudata	8293	O	109	0.00002	87	0.00001	221	0.00002	233	0.00002	264	0.00002	215	0.00002	252	0.00003	208	0.00002	390	0.00005	219	0.00002	166	0.00002	163	0.00003	117	0.00001	353	0.00004	82	0.00001	674	0.00007	782	0.00007	109	0.00001	24	0.00000	59	0.00000	81	0.00001	60	0.00001	139	0.00001	153	0.00002	133	0.00001	52	0.00001	153	0.00001	120	0.00002	94	0.00001	207	0.00002	32	0.00000	0	0.00000	98	0.00001
Hyracoidea	9810	O	24	0.00000	37	0.00001	37	0.00000	51	0.00000	37	0.00000	52	0.00001	42	0.00000	40	0.00000	20	0.00000	24	0.00000	46	0.00000	19	0.00000	28	0.00000	46	0.00000	20	0.00000	52	0.00001	0	0.00000	22	0.00000	0	0.00000	12	0.00000	11	0.00000	16	0.00000	11	0.00000	15	0.00000	0	0.00000	0	0.00000	27	0.00000	31	0.00000	11	0.00000	20	0.00000	13	0.00000	0	0.00000	14	0.00000
Mycoplasmoidales	2790996	O	470	0.00007	447	0.00007	462	0.00005	876	0.00008	250	0.00002	333	0.00003	409	0.00004	350	0.00004	319	0.00004	769	0.00008	678	0.00007	267	0.00005	599	0.00007	27017	0.00279	436	0.00007	31773	0.00324	31838	0.00294	1430	0.00012	247	0.00002	1465	0.00012	1103	0.00010	650	0.00012	2913	0.00030	706	0.00008	865	0.00009	23149	0.00330	1120	0.00009	1735	0.00023	19282	0.00190	10948	0.00100	2818	0.00030	0	0.00000	228	0.00003
Uranoscopiformes	1489926	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	54	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	552	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phlebobranchia	7716	O	592	0.00009	564	0.00008	1035	0.00010	1105	0.00010	729	0.00007	574	0.00006	620	0.00007	765	0.00008	705	0.00008	772	0.00008	840	0.00008	396	0.00007	797	0.00009	793	0.00008	553	0.00009	728	0.00007	772	0.00007	833	0.00007	320	0.00003	1117	0.00009	660	0.00006	293	0.00005	610	0.00006	481	0.00006	525	0.00006	1233	0.00018	593	0.00005	715	0.00010	1166	0.00011	742	0.00007	349	0.00004	0	0.00000	1311	0.00017
Homosclerophorida	81000	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	35	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tanaidacea	75398	O	0	0.00000	0	0.00000	32	0.00000	49	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	11	0.00000	94	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Neogastropoda	6479	O	424	0.00007	855	0.00013	441	0.00004	433	0.00004	1018	0.00009	931	0.00009	1609	0.00017	1649	0.00017	951	0.00011	617	0.00007	1248	0.00012	1399	0.00026	553	0.00006	158	0.00002	181	0.00003	385	0.00004	378	0.00003	840	0.00007	283	0.00003	2336	0.00019	553	0.00005	726	0.00013	120	0.00001	99	0.00001	880	0.00009	213	0.00003	2238	0.00019	252	0.00003	680	0.00007	1632	0.00015	173	0.00002	0	0.00000	319	0.00004
Thermodesulfovibrionales	2811503	O	0	0.00000	0	0.00000	45	0.00000	31	0.00000	603	0.00005	30	0.00000	19	0.00000	22	0.00000	68	0.00001	48	0.00001	590	0.00006	18	0.00000	726	0.00008	251	0.00003	106	0.00002	226	0.00002	430	0.00004	1835	0.00016	19	0.00000	2699	0.00022	64	0.00001	31	0.00001	2771	0.00029	1667	0.00019	2048	0.00022	60	0.00001	140	0.00001	536	0.00007	187	0.00002	1846	0.00017	137	0.00001	0	0.00000	376	0.00005
Chaetopeltidales	51325	O	0	0.00000	0	0.00000	21	0.00000	21	0.00000	18	0.00000	0	0.00000	0	0.00000	14	0.00000	24	0.00000	20	0.00000	60	0.00001	0	0.00000	33	0.00000	963	0.00010	0	0.00000	1903	0.00019	1732	0.00016	50	0.00000	0	0.00000	85	0.00001	0	0.00000	0	0.00000	18	0.00000	0	0.00000	0	0.00000	0	0.00000	142	0.00001	13	0.00000	39	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000
Gonorynchiformes	29140	O	52942	0.00827	55438	0.00828	64431	0.00652	71527	0.00651	88242	0.00794	75392	0.00750	75876	0.00806	94349	0.00946	70150	0.00815	59461	0.00640	36616	0.00355	72491	0.01326	46045	0.00510	20280	0.00209	29363	0.00501	27457	0.00280	26653	0.00246	49000	0.00424	15024	0.00134	22936	0.00184	34109	0.00321	24815	0.00449	12243	0.00127	14601	0.00171	14121	0.00150	18029	0.00257	47589	0.00399	50178	0.00674	23513	0.00231	29326	0.00267	12063	0.00129	0	0.00000	39404	0.00522
Lithodesmiales	420271	O	0	0.00000	0	0.00000	0	0.00000	157	0.00001	0	0.00000	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	88	0.00001	0	0.00000	0	0.00000	140	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	666	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Gemmatimonadales	219686	O	170	0.00003	222	0.00003	162	0.00002	207	0.00002	291	0.00003	221	0.00002	253	0.00003	304	0.00003	351	0.00004	88	0.00001	215	0.00002	440	0.00008	820	0.00009	532	0.00005	689	0.00012	255	0.00003	572	0.00005	901	0.00008	548	0.00005	2612	0.00021	2016	0.00019	867	0.00016	2100	0.00022	1078	0.00013	2131	0.00023	475	0.00007	796	0.00007	198	0.00003	610	0.00006	891	0.00008	1561	0.00017	0	0.00000	232	0.00003
Ichthyophonida	198625	O	102	0.00002	107	0.00002	101	0.00001	100	0.00001	331	0.00003	278	0.00003	253	0.00003	173	0.00002	280	0.00003	105	0.00001	66	0.00001	235	0.00004	135	0.00001	128	0.00001	186	0.00003	138	0.00001	60	0.00001	163	0.00001	41	0.00000	132	0.00001	115	0.00001	77	0.00001	92	0.00001	147	0.00002	65	0.00001	86	0.00001	179	0.00002	320	0.00004	213	0.00002	594	0.00005	369	0.00004	0	0.00000	341	0.00005
Zoopagales	78899	O	0	0.00000	0	0.00000	28	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	23	0.00000	0	0.00000	0	0.00000	0	0.00000
Cytophagales	768507	O	3807	0.00059	3796	0.00057	3086	0.00031	3517	0.00032	3780	0.00034	2883	0.00029	2658	0.00028	3468	0.00035	3494	0.00041	4764	0.00051	4213	0.00041	21717	0.00397	9758	0.00108	48115	0.00497	7824	0.00133	18515	0.00189	44910	0.00415	29543	0.00255	5983	0.00053	58370	0.00469	16811	0.00158	6511	0.00118	27867	0.00288	33497	0.00391	32084	0.00341	19867	0.00283	5764	0.00048	3063	0.00041	6481	0.00064	12337	0.00112	9088	0.00097	0	0.00000	2629	0.00035
Neoechinorhynchida	45086	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	29	0.00000	10	0.00000	0	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	15	0.00000
Gracilariales	31468	O	41	0.00001	39	0.00001	60	0.00001	52	0.00000	90	0.00001	105	0.00001	101	0.00001	68	0.00001	53	0.00001	64	0.00001	123	0.00001	319	0.00006	85	0.00001	192	0.00002	54	0.00001	192	0.00002	279	0.00003	114	0.00001	48	0.00000	134	0.00001	70	0.00001	30	0.00001	103	0.00001	130	0.00002	84	0.00001	234	0.00003	62	0.00001	42	0.00001	139	0.00001	137	0.00001	73	0.00001	0	0.00000	63	0.00001
Tinamiformes	8802	O	389	0.00006	429	0.00006	541	0.00005	542	0.00005	645	0.00006	530	0.00005	530	0.00006	849	0.00009	534	0.00006	470	0.00005	486	0.00005	348	0.00006	598	0.00007	204	0.00002	360	0.00006	188	0.00002	106	0.00001	938	0.00008	261	0.00002	466	0.00004	675	0.00006	468	0.00008	412	0.00004	335	0.00004	363	0.00004	359	0.00005	796	0.00007	635	0.00009	309	0.00003	643	0.00006	394	0.00004	0	0.00000	608	0.00008
Anseriformes	8826	O	10476	0.00164	10757	0.00161	12636	0.00128	14180	0.00129	16057	0.00144	14303	0.00142	13197	0.00140	16400	0.00164	14942	0.00174	13176	0.00142	11667	0.00113	8190	0.00150	13869	0.00154	8122	0.00084	9204	0.00157	8408	0.00086	9885	0.00091	14030	0.00121	4512	0.00040	9664	0.00078	10172	0.00096	6867	0.00124	7790	0.00081	6266	0.00073	6715	0.00071	8157	0.00116	12269	0.00103	12159	0.00163	8727	0.00086	10418	0.00095	5186	0.00055	0	0.00000	13688	0.00181
Oxymonadida	66288	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11858	0.00119	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	38	0.00000	0	0.00000	18	0.00000	37	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Podocopida	84318	O	11903	0.00186	12345	0.00184	22372	0.00226	25464	0.00232	23016	0.00207	19654	0.00196	18334	0.00195	18687	0.00187	15669	0.00182	23949	0.00258	42698	0.00415	13950	0.00255	16479	0.00183	17893	0.00185	12155	0.00207	15237	0.00155	19959	0.00184	17540	0.00152	5337	0.00048	21361	0.00172	11799	0.00111	7052	0.00128	13202	0.00137	10185	0.00119	13052	0.00139	9819	0.00140	13079	0.00110	13165	0.00177	10977	0.00108	16395	0.00149	7600	0.00081	0	0.00000	12031	0.00159
Polystomatidea	2486292	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	53	0.00000	20	0.00000	12	0.00000	61	0.00001	26	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Jatrophihabitantales	2805415	O	12	0.00000	13	0.00000	0	0.00000	13	0.00000	15	0.00000	14	0.00000	14	0.00000	38	0.00000	51	0.00001	15	0.00000	14	0.00000	11	0.00000	46	0.00001	61	0.00001	40	0.00001	16	0.00000	32	0.00000	101	0.00001	41	0.00000	285	0.00002	223	0.00002	126	0.00002	232	0.00002	122	0.00001	230	0.00002	67	0.00001	75	0.00001	23	0.00000	633	0.00006	246	0.00002	280	0.00003	0	0.00000	0	0.00000
Holosporales	1921002	O	55	0.00001	45	0.00001	163	0.00002	93	0.00001	147	0.00001	106	0.00001	122	0.00001	67	0.00001	96	0.00001	123	0.00001	154	0.00001	87	0.00002	182	0.00002	743	0.00008	137	0.00002	663	0.00007	1112	0.00010	431	0.00004	211	0.00002	866	0.00007	1513	0.00014	84	0.00002	247	0.00003	797	0.00009	1587	0.00017	458	0.00007	153	0.00001	57	0.00001	134	0.00001	769	0.00007	112	0.00001	0	0.00000	81	0.00001
Gunnerales	232382	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	24	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Tubulavirales	2732094	O	143	0.00002	27	0.00000	92	0.00001	246	0.00002	372	0.00003	435	0.00004	219	0.00002	23	0.00000	286	0.00003	120	0.00001	304	0.00003	110	0.00002	300	0.00003	529	0.00005	99	0.00002	191	0.00002	920	0.00008	103	0.00001	0	0.00000	983	0.00008	218	0.00002	15	0.00000	30	0.00000	28	0.00000	322	0.00003	608	0.00009	644	0.00005	252	0.00003	144	0.00001	148	0.00001	65	0.00001	0	0.00000	142	0.00002
Odonata	6961	O	62701	0.00979	54567	0.00815	43590	0.00441	48093	0.00438	9707	0.00087	10267	0.00102	9337	0.00099	34742	0.00348	40101	0.00466	44631	0.00480	21796	0.00212	36048	0.00659	14114	0.00156	3095	0.00032	15699	0.00268	8541	0.00087	3203	0.00030	3161	0.00027	901	0.00008	2188	0.00018	2016	0.00019	1425	0.00026	2288	0.00024	1604	0.00019	1501	0.00016	2454	0.00035	3109	0.00026	2428	0.00033	1949	0.00019	2574	0.00023	1739	0.00019	0	0.00000	3135	0.00041
Bacillariales	33851	O	294	0.00005	248	0.00004	336	0.00003	1078	0.00010	424	0.00004	238	0.00002	118	0.00001	151	0.00002	184	0.00002	141	0.00002	823	0.00008	495	0.00009	299	0.00003	1586	0.00016	233	0.00004	818	0.00008	670	0.00006	201	0.00002	69	0.00001	563	0.00005	217	0.00002	201	0.00004	914	0.00009	809	0.00009	514	0.00005	470	0.00007	449	0.00004	156	0.00002	1060	0.00010	755	0.00007	422	0.00004	0	0.00000	221	0.00003
Methylacidiphilales	717963	O	93	0.00001	77	0.00001	107	0.00001	131	0.00001	127	0.00001	190	0.00002	237	0.00003	107	0.00001	43	0.00000	100	0.00001	148	0.00001	80	0.00001	165	0.00002	557	0.00006	104	0.00002	513	0.00005	325	0.00003	393	0.00003	64	0.00001	467	0.00004	231	0.00002	108	0.00002	179	0.00002	148	0.00002	192	0.00002	617	0.00009	134	0.00001	87	0.00001	162	0.00002	549	0.00005	447	0.00005	0	0.00000	108	0.00001
Cremevirales	2732537	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	54	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Suessiales	89954	O	0	0.00000	0	0.00000	339	0.00003	154	0.00001	157	0.00001	237	0.00002	139	0.00001	33	0.00000	19	0.00000	357	0.00004	895	0.00009	0	0.00000	0	0.00000	62	0.00001	1191	0.00020	0	0.00000	91	0.00001	185	0.00002	0	0.00000	93	0.00001	347	0.00003	137	0.00002	1250	0.00013	0	0.00000	0	0.00000	34	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	636	0.00008
Andreaeales	13794	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	44	0.00000	0	0.00000	0	0.00000
Cyanidiales	265318	O	139	0.00002	155	0.00002	193	0.00002	233	0.00002	254	0.00002	204	0.00002	179	0.00002	270	0.00003	233	0.00003	153	0.00002	167	0.00002	120	0.00002	235	0.00003	507	0.00005	135	0.00002	882	0.00009	733	0.00007	317	0.00003	69	0.00001	418	0.00003	246	0.00002	129	0.00002	550	0.00006	226	0.00003	254	0.00003	165	0.00002	193	0.00002	178	0.00002	368	0.00004	1224	0.00011	261	0.00003	0	0.00000	96	0.00001
Petitvirales	2732414	O	58	0.00001	48	0.00001	120	0.00001	147	0.00001	121	0.00001	71	0.00001	113	0.00001	82	0.00001	74	0.00001	85	0.00001	127	0.00001	57	0.00001	121	0.00001	359	0.00004	67	0.00001	130	0.00001	613	0.00006	164	0.00001	46	0.00000	213	0.00002	141	0.00001	79	0.00001	112	0.00001	279	0.00003	147	0.00002	221	0.00003	138	0.00001	73	0.00001	92	0.00001	144	0.00001	123	0.00001	0	0.00000	91	0.00001
Philodinida	104783	O	58	0.00001	0	0.00000	13	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000	68	0.00001	30	0.00000	69	0.00001	49	0.00000	0	0.00000	38	0.00000	42	0.00000	0	0.00000	120	0.00001	82	0.00001	37	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	370	0.00004	0	0.00000	66	0.00001	39	0.00001	52	0.00001	186	0.00002	76	0.00001	0	0.00000	25	0.00000
Baphyvirales	2732535	O	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Branchiobdellida	55818	O	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	210	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Piccovirales	2732534	O	16	0.00000	24	0.00000	69	0.00001	55	0.00001	20	0.00000	34	0.00000	12	0.00000	18	0.00000	18	0.00000	32	0.00000	42	0.00000	11	0.00000	35	0.00000	11	0.00000	30	0.00001	21	0.00000	55	0.00001	21	0.00000	13	0.00000	55	0.00000	27	0.00000	0	0.00000	46	0.00000	14	0.00000	26	0.00000	0	0.00000	31	0.00000	25	0.00000	25	0.00000	42	0.00000	21	0.00000	0	0.00000	35	0.00000
Gloeomargaritales	1955042	O	0	0.00000	10	0.00000	15	0.00000	24	0.00000	52	0.00000	86	0.00001	67	0.00001	12	0.00000	0	0.00000	24	0.00000	31	0.00000	81	0.00001	85	0.00001	503	0.00005	28	0.00000	279	0.00003	101	0.00001	268	0.00002	67	0.00001	264	0.00002	96	0.00001	38	0.00001	92	0.00001	170	0.00002	88	0.00001	216	0.00003	17	0.00000	22	0.00000	194	0.00002	57	0.00001	87	0.00001	0	0.00000	21	0.00000
Octopoda	6638	O	1807	0.00028	8639	0.00129	1868	0.00019	12210	0.00111	2481	0.00022	9540	0.00095	2137	0.00023	11865	0.00119	2027	0.00024	1752	0.00019	4236	0.00041	1999	0.00037	13034	0.00144	1829	0.00019	3107	0.00053	1344	0.00014	836	0.00008	2592	0.00022	773	0.00007	9119	0.00073	1694	0.00016	1248	0.00023	785	0.00008	779	0.00009	666	0.00007	1248	0.00018	9288	0.00078	2559	0.00034	1742	0.00017	9594	0.00087	642	0.00007	0	0.00000	3005	0.00040
Deferribacterales	191393	O	60	0.00001	91	0.00001	106	0.00001	124	0.00001	144	0.00001	122	0.00001	131	0.00001	139	0.00001	536	0.00006	141	0.00002	176	0.00002	79	0.00001	240	0.00003	1203	0.00012	244	0.00004	1002	0.00010	25499	0.00236	535	0.00005	152	0.00001	714	0.00006	283	0.00003	161	0.00003	505	0.00005	519	0.00006	451	0.00005	295	0.00004	258	0.00002	125	0.00002	474	0.00005	416	0.00004	264	0.00003	0	0.00000	70	0.00001
Cenarchaeales	205948	O	0	0.00000	0	0.00000	17	0.00000	24	0.00000	0	0.00000	0	0.00000	14	0.00000	22	0.00000	15	0.00000	24	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	29	0.00000	12	0.00000	22	0.00000	0	0.00000	0	0.00000	0	0.00000	19	0.00000	23	0.00000	14	0.00000	33	0.00000	37	0.00000	49	0.00000	20	0.00000	0	0.00000	23	0.00000
Thermofilales	2856582	O	0	0.00000	15	0.00000	22	0.00000	23	0.00000	10	0.00000	11	0.00000	12	0.00000	41	0.00000	1339	0.00016	82	0.00001	40	0.00000	0	0.00000	34	0.00000	82	0.00001	35	0.00001	99	0.00001	161	0.00001	48	0.00000	0	0.00000	96	0.00001	53	0.00000	13	0.00000	371	0.00004	13	0.00000	29	0.00000	1809	0.00026	23	0.00000	18	0.00000	15	0.00000	37	0.00000	25	0.00000	0	0.00000	27	0.00000
Silvanigrellales	2024973	O	199	0.00003	212	0.00003	38	0.00000	146	0.00001	66	0.00001	71	0.00001	53	0.00001	81	0.00001	110	0.00001	51	0.00001	146	0.00001	46	0.00001	416	0.00005	312	0.00003	497	0.00008	247	0.00003	177	0.00002	119	0.00001	17	0.00000	844	0.00007	68	0.00001	244	0.00004	446	0.00005	130	0.00002	725	0.00008	247	0.00004	521	0.00004	50	0.00001	448	0.00004	909	0.00008	713	0.00008	0	0.00000	17	0.00000
Candidatus Poseidoniales	133814	O	0	0.00000	0	0.00000	0	0.00000	3918	0.00036	0	0.00000	10869	0.00108	0	0.00000	10464	0.00105	5553	0.00065	494	0.00005	560	0.00005	0	0.00000	5592	0.00062	3753	0.00039	3601	0.00061	53	0.00001	176	0.00002	9562	0.00083	353	0.00003	14458	0.00116	3790	0.00036	3711	0.00067	8798	0.00091	4320	0.00050	7685	0.00082	15099	0.00215	0	0.00000	16	0.00000	331	0.00003	11405	0.00104	128	0.00001	0	0.00000	0	0.00000
Gonyaulacales	40984	O	100	0.00002	0	0.00000	1406	0.00014	1508	0.00014	1225	0.00011	1200	0.00012	1177	0.00013	1129	0.00011	1200	0.00014	1293	0.00014	524	0.00005	83	0.00002	54	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	46	0.00000	0	0.00000	768	0.00006	52	0.00000	0	0.00000	87	0.00001	0	0.00000	62	0.00001	0	0.00000	65	0.00001	21	0.00000	56	0.00001	371	0.00003	182	0.00002	0	0.00000	0	0.00000
