name	taxonomy_id	taxonomy_lvl	119_S24.C.bracken_num	119_S24.C.bracken_frac	120_S25.C.bracken_num	120_S25.C.bracken_frac	140_S26.C.bracken_num	140_S26.C.bracken_frac	147_S27.C.bracken_num	147_S27.C.bracken_frac	177_S28.C.bracken_num	177_S28.C.bracken_frac	178_S29.C.bracken_num	178_S29.C.bracken_frac	179_S31.C.bracken_num	179_S31.C.bracken_frac	209_S30.C.bracken_num	209_S30.C.bracken_frac	214_S32.C.bracken_num	214_S32.C.bracken_frac	82_S21.C.bracken_num	82_S21.C.bracken_frac	88_S22.C.bracken_num	88_S22.C.bracken_frac	99_S23.C.bracken_num	99_S23.C.bracken_frac	BLB_S18.C.bracken_num	BLB_S18.C.bracken_frac	BLB_WG4.C.bracken_num	BLB_WG4.C.bracken_frac	BLR_S17.C.bracken_num	BLR_S17.C.bracken_frac	BLR_WG4.C.bracken_num	BLR_WG4.C.bracken_frac	BLS_S16.C.bracken_num	BLS_S16.C.bracken_frac	DC06_S1.C.bracken_num	DC06_S1.C.bracken_frac	DC10_S2.C.bracken_num	DC10_S2.C.bracken_frac	DC11_S3.C.bracken_num	DC11_S3.C.bracken_frac	DC17_S4.C.bracken_num	DC17_S4.C.bracken_frac	DM13_S9.C.bracken_num	DM13_S9.C.bracken_frac	DM14_S10.C.bracken_num	DM14_S10.C.bracken_frac	DM15_S11.C.bracken_num	DM15_S11.C.bracken_frac	DM16_S12.C.bracken_num	DM16_S12.C.bracken_frac	GG01_S14.C.bracken_num	GG01_S14.C.bracken_frac	GH01_S13.C.bracken_num	GH01_S13.C.bracken_frac	GN13_S5.C.bracken_num	GN13_S5.C.bracken_frac	GN15_S6.C.bracken_num	GN15_S6.C.bracken_frac	GN18_S7.C.bracken_num	GN18_S7.C.bracken_frac	GN19_S8.C.bracken_num	GN19_S8.C.bracken_frac	NEG_S33.C.bracken_num	NEG_S33.C.bracken_frac	OC01_S15.C.bracken_num	OC01_S15.C.bracken_frac
Sordariomycetes	147550	C	21686	0.00339	21604	0.00322	23637	0.00239	25485	0.00232	29539	0.00266	25001	0.00248	25395	0.00270	24244	0.00243	20181	0.00234	35792	0.00385	31141	0.00302	17357	0.00317	31340	0.00347	29946	0.00309	19977	0.00340	28493	0.00290	30262	0.00279	28480	0.00246	9970	0.00089	29877	0.00240	22298	0.00210	14044	0.00254	52769	0.00546	17824	0.00208	21276	0.00226	27343	0.00389	19857	0.00166	16222	0.00218	21265	0.00209	32591	0.00296	40762	0.00434	0	0.00000	36308	0.00481
Cryptophyceae	3027	C	9265	0.00145	2713	0.00040	8494	0.00086	10499	0.00095	1455	0.00013	1104	0.00011	1265	0.00013	14279	0.00143	6250	0.00073	1052	0.00011	2948	0.00029	3792	0.00069	1168	0.00013	42715	0.00441	6509	0.00111	2726	0.00028	91690	0.00847	1387	0.00012	528	0.00005	2156	0.00017	10279	0.00097	8265	0.00150	19249	0.00199	23538	0.00275	1301	0.00014	8959	0.00128	8156	0.00068	1200	0.00016	2657	0.00026	2087	0.00019	5700	0.00061	0	0.00000	8867	0.00117
Caudofoveata	52919	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	139	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enteropneusta	10220	C	1074	0.00017	1325	0.00020	566	0.00006	594	0.00005	559	0.00005	509	0.00005	498	0.00005	696	0.00007	639	0.00007	615	0.00007	695	0.00007	606	0.00011	1380	0.00015	1353	0.00014	852	0.00015	943	0.00010	1146	0.00011	3764	0.00033	1153	0.00010	1060	0.00009	2418	0.00023	1921	0.00035	292	0.00003	1341	0.00016	323	0.00003	487	0.00007	1913	0.00016	1149	0.00015	909	0.00009	288	0.00003	257	0.00003	0	0.00000	415	0.00005
Thermococci	183968	C	332	0.00005	249	0.00004	299	0.00003	422	0.00004	363	0.00003	280	0.00003	237	0.00003	567	0.00006	299	0.00003	286	0.00003	324	0.00003	1416	0.00026	1009	0.00011	3037	0.00031	654	0.00011	2219	0.00023	1077	0.00010	792	0.00007	299	0.00003	4844	0.00039	1021	0.00010	291	0.00005	1731	0.00018	571	0.00007	478	0.00005	1320	0.00019	419	0.00004	702	0.00009	318	0.00003	817	0.00007	934	0.00010	0	0.00000	546	0.00007
Trematoda	6178	C	7470	0.00117	7752	0.00116	10097	0.00102	11131	0.00101	12889	0.00116	11330	0.00113	11619	0.00123	12481	0.00125	11936	0.00139	10926	0.00118	10830	0.00105	5876	0.00107	10827	0.00120	12018	0.00124	7042	0.00120	12758	0.00130	15844	0.00146	12343	0.00107	4280	0.00038	11037	0.00089	8433	0.00079	5231	0.00095	8667	0.00090	6933	0.00081	7138	0.00076	11076	0.00158	11904	0.00100	11085	0.00149	9331	0.00092	11160	0.00101	4909	0.00052	0	0.00000	9232	0.00122
Mesostigmatophyceae	96475	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	71	0.00001	0	0.00000	269	0.00003	114	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	54	0.00001	0	0.00000	0	0.00000	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Synurophyceae	33859	C	0	0.00000	0	0.00000	0	0.00000	18	0.00000	0	0.00000	0	0.00000	258	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	148	0.00002	0	0.00000	0	0.00000	0	0.00000	70	0.00001	0	0.00000	123	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	97	0.00001	64	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00000
Scyphozoa	6142	C	0	0.00000	1348	0.00020	0	0.00000	0	0.00000	77	0.00001	0	0.00000	147	0.00002	48	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1732	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000	55	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Choanoflagellata	28009	C	601	0.00009	745	0.00011	9902	0.00100	11703	0.00106	1593	0.00014	1550	0.00015	1263	0.00013	1618	0.00016	1946	0.00023	3869	0.00042	1843	0.00018	538	0.00010	878	0.00010	782	0.00008	565	0.00010	759	0.00008	532	0.00005	754	0.00007	223	0.00002	987	0.00008	916	0.00009	653	0.00012	605	0.00006	421	0.00005	605	0.00006	348	0.00005	584	0.00005	837	0.00011	312	0.00003	610	0.00006	657	0.00007	0	0.00000	792	0.00010
Phytomyxea	2779609	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	56	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	31	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00000	70	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Phaeophyceae	2870	C	599	0.00009	487	0.00007	109	0.00001	1320	0.00012	542	0.00005	154	0.00002	442	0.00005	176	0.00002	270	0.00003	368	0.00004	949	0.00009	165	0.00003	553	0.00006	413	0.00004	186	0.00003	1203	0.00012	608	0.00006	268	0.00002	72	0.00001	388	0.00003	216	0.00002	79	0.00001	629	0.00007	287	0.00003	251	0.00003	149	0.00002	106	0.00001	138	0.00002	415	0.00004	195	0.00002	348	0.00004	0	0.00000	193	0.00003
Spirotrichea	33829	C	112	0.00002	300	0.00004	270	0.00003	320	0.00003	98	0.00001	344	0.00003	278	0.00003	84	0.00001	342	0.00004	329	0.00004	280	0.00003	109	0.00002	252	0.00003	236	0.00002	129	0.00002	0	0.00000	80	0.00001	287	0.00002	0	0.00000	586	0.00005	85	0.00001	53	0.00001	793	0.00008	724	0.00008	639	0.00007	836	0.00012	42	0.00000	52	0.00001	758	0.00007	713	0.00006	181	0.00002	0	0.00000	130	0.00002
Methanobacteria	183925	C	683	0.00011	340	0.00005	395	0.00004	434	0.00004	717	0.00006	551	0.00005	662	0.00007	406	0.00004	516	0.00006	343	0.00004	3098	0.00030	294	0.00005	878	0.00010	1814	0.00019	682	0.00012	1992	0.00020	3846	0.00036	1064	0.00009	258	0.00002	1707	0.00014	649	0.00006	525	0.00010	956	0.00010	956	0.00011	1151	0.00012	1753	0.00025	872	0.00007	366	0.00005	1104	0.00011	960	0.00009	551	0.00006	0	0.00000	398	0.00005
Eumycetozoa	142796	C	5197	0.00081	3994	0.00060	2195	0.00022	2562	0.00023	4528	0.00041	2425	0.00024	3789	0.00040	3361	0.00034	3097	0.00036	2219	0.00024	2931	0.00028	1282	0.00023	49020	0.00543	5798	0.00060	30010	0.00511	18071	0.00184	7838	0.00072	3930	0.00034	1095	0.00010	3898	0.00031	2705	0.00025	2064	0.00037	3960	0.00041	2213	0.00026	2273	0.00024	4751	0.00068	2670	0.00022	2166	0.00029	4201	0.00041	4408	0.00040	2339	0.00025	0	0.00000	2220	0.00029
Lentisphaeria	1313211	C	85	0.00001	37	0.00001	27	0.00000	32	0.00000	125	0.00001	100	0.00001	31	0.00000	166	0.00002	47	0.00001	87	0.00001	77	0.00001	25	0.00000	6788	0.00075	719	0.00007	4479	0.00076	1759	0.00018	64	0.00001	796	0.00007	110	0.00001	795	0.00006	241	0.00002	275	0.00005	460	0.00005	113	0.00001	574	0.00006	291	0.00004	46	0.00000	70	0.00001	88	0.00001	124	0.00001	336	0.00004	0	0.00000	18	0.00000
Vicinamibacteria	1813735	C	50	0.00001	53	0.00001	480	0.00005	576	0.00005	58	0.00001	48	0.00000	35	0.00000	67	0.00001	77	0.00001	458	0.00005	112	0.00001	82	0.00001	187	0.00002	120	0.00001	87	0.00001	56	0.00001	55	0.00001	786	0.00007	135	0.00001	877	0.00007	1557	0.00015	251	0.00005	595	0.00006	581	0.00007	989	0.00011	353	0.00005	125	0.00001	55	0.00001	206	0.00002	366	0.00003	530	0.00006	0	0.00000	37	0.00000
Prasinodermophyceae	2806170	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	971	0.00009	1091	0.00011	609	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Schizosaccharomycetes	147554	C	367	0.00006	471	0.00007	290	0.00003	330	0.00003	427	0.00004	371	0.00004	332	0.00004	358	0.00004	376	0.00004	284	0.00003	435	0.00004	177	0.00003	581	0.00006	896	0.00009	387	0.00007	851	0.00009	575	0.00005	625	0.00005	260	0.00002	1024	0.00008	362	0.00003	185	0.00003	659	0.00007	405	0.00005	459	0.00005	256	0.00004	312	0.00003	258	0.00003	517	0.00005	561	0.00005	225	0.00002	0	0.00000	185	0.00002
Holothuroidea	7705	C	76	0.00001	89	0.00001	261	0.00003	206	0.00002	217	0.00002	127	0.00001	178	0.00002	163	0.00002	201	0.00002	264	0.00003	178	0.00002	52	0.00001	292	0.00003	82	0.00001	208	0.00004	47	0.00000	75	0.00001	138	0.00001	36	0.00000	136	0.00001	145	0.00001	90	0.00002	200	0.00002	86	0.00001	61	0.00001	115	0.00002	225	0.00002	226	0.00003	58	0.00001	100	0.00001	35	0.00000	0	0.00000	944	0.00012
Remipedia	84343	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	64	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cyclorhagida	310836	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	33	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	40	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Micrarchaeia	2885733	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	319	0.00003	0	0.00000	268	0.00003	418	0.00004	139	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	6898	0.00093	50	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bivalvia	6544	C	35484	0.00554	38050	0.00568	54815	0.00555	61117	0.00556	63723	0.00573	53702	0.00534	53094	0.00564	51298	0.00514	227526	0.02640	55217	0.00594	52163	0.00506	28273	0.00517	56316	0.00623	55698	0.00575	37414	0.00638	61487	0.00626	63140	0.00583	50532	0.00436	16456	0.00147	42109	0.00338	31763	0.00299	20321	0.00368	35620	0.00368	25437	0.00297	26141	0.00278	34514	0.00492	39252	0.00329	37631	0.00505	35483	0.00349	42396	0.00385	19521	0.00208	0	0.00000	37996	0.00503
Merostomata	6844	C	1245	0.00019	1204	0.00018	5599	0.00057	6428	0.00058	1594	0.00014	1210	0.00012	1177	0.00013	1293	0.00013	1016	0.00012	3864	0.00042	4807	0.00047	1587	0.00029	1424	0.00016	1549	0.00016	1107	0.00019	1102	0.00011	1130	0.00010	1201	0.00010	366	0.00003	1020	0.00008	805	0.00008	489	0.00009	1332	0.00014	783	0.00009	727	0.00008	2943	0.00042	1026	0.00009	1114	0.00015	781	0.00008	1388	0.00013	520	0.00006	0	0.00000	789	0.00010
Leotiomycetes	147548	C	2973	0.00046	3452	0.00051	3810	0.00039	4011	0.00036	5087	0.00046	3986	0.00040	4099	0.00044	9662	0.00097	6044	0.00070	3668	0.00039	3659	0.00036	4036	0.00074	4788	0.00053	3633	0.00038	2928	0.00050	4233	0.00043	5344	0.00049	4736	0.00041	1611	0.00014	4062	0.00033	3305	0.00031	1933	0.00035	3568	0.00037	2903	0.00034	3403	0.00036	2749	0.00039	5002	0.00042	4317	0.00058	4613	0.00045	5448	0.00049	2661	0.00028	0	0.00000	4922	0.00065
Repensiviricetes	2732424	C	36	0.00001	37	0.00001	12	0.00000	21	0.00000	25	0.00000	16	0.00000	44	0.00000	27	0.00000	51	0.00001	38	0.00000	70	0.00001	23	0.00000	70	0.00001	104	0.00001	78	0.00001	36	0.00000	103	0.00001	30	0.00000	13	0.00000	56	0.00000	27	0.00000	30	0.00001	13	0.00000	20	0.00000	38	0.00000	57	0.00001	30	0.00000	30	0.00000	519	0.00005	21	0.00000	34	0.00000	0	0.00000	56	0.00001
Herviviricetes	2731363	C	108	0.00002	111	0.00002	196	0.00002	296	0.00003	152	0.00001	124	0.00001	117	0.00001	147	0.00001	150	0.00002	168	0.00002	269	0.00003	113	0.00002	144	0.00002	135	0.00001	176	0.00003	5240	0.00053	103	0.00001	3744	0.00032	99	0.00001	3815	0.00031	253	0.00002	176	0.00003	220	0.00002	3352	0.00039	176	0.00002	116	0.00002	107	0.00001	127	0.00002	289	0.00003	213	0.00002	211	0.00002	0	0.00000	158	0.00002
Cytophagia	768503	C	3807	0.00059	3796	0.00057	3085	0.00031	3510	0.00032	3780	0.00034	2883	0.00029	2658	0.00028	3468	0.00035	3494	0.00041	4764	0.00051	4213	0.00041	21716	0.00397	9758	0.00108	48115	0.00497	7824	0.00133	18511	0.00189	44909	0.00415	29543	0.00255	5983	0.00053	58369	0.00469	16810	0.00158	6511	0.00118	27867	0.00288	33497	0.00391	32084	0.00341	19866	0.00283	5764	0.00048	3063	0.00041	6481	0.00064	12334	0.00112	9086	0.00097	0	0.00000	2629	0.00035
Rhynchonellata	115371	C	26	0.00000	34	0.00001	25	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00000	0	0.00000	0	0.00000	0	0.00000	31	0.00000	0	0.00000	72	0.00001	211	0.00002	62	0.00001	705	0.00007	284	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00000
Lecanoromycetes	147547	C	276	0.00004	213	0.00003	310	0.00003	332	0.00003	319	0.00003	279	0.00003	294	0.00003	439	0.00004	253	0.00003	235	0.00003	255	0.00002	188	0.00003	431	0.00005	414	0.00004	275	0.00005	298	0.00003	370	0.00003	666	0.00006	111	0.00001	339	0.00003	364	0.00003	242	0.00004	606	0.00006	303	0.00004	703	0.00007	257	0.00004	335	0.00003	219	0.00003	201	0.00002	397	0.00004	263	0.00003	0	0.00000	487	0.00006
Maveriviricetes	2732528	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	566	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	147	0.00001	86	0.00001	10	0.00000	0	0.00000	0	0.00000
Klebsormidiophyceae	131220	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	59	0.00001	0	0.00000	0	0.00000	350	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	27	0.00000	0	0.00000	0	0.00000	0	0.00000	207	0.00002	0	0.00000	433	0.00008	939	0.00010	894	0.00010	416	0.00004	0	0.00000	113	0.00001	0	0.00000	69	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Conoidasida	1280412	C	3129	0.00049	3263	0.00049	3607	0.00036	3995	0.00036	5030	0.00045	4285	0.00043	3975	0.00042	4742	0.00047	3619	0.00042	3002	0.00032	3366	0.00033	2450	0.00045	3951	0.00044	7147	0.00074	2637	0.00045	6229	0.00063	7979	0.00074	5332	0.00046	1726	0.00015	5066	0.00041	3880	0.00036	2440	0.00044	2560	0.00026	3292	0.00038	2612	0.00028	2439	0.00035	3680	0.00031	3427	0.00046	4835	0.00048	4086	0.00037	2561	0.00027	0	0.00000	7244	0.00096
Magnoliopsida	3398	C	275253	0.04298	284039	0.04237	373559	0.03780	407409	0.03703	427311	0.03843	359853	0.03576	362114	0.03846	401589	0.04021	347681	0.04035	379697	0.04085	413303	0.04012	253235	0.04628	448396	0.04963	523137	0.05401	286999	0.04892	545122	0.05553	658913	0.06084	383877	0.03315	119141	0.01064	406398	0.03263	237253	0.02231	152502	0.02761	347435	0.03593	229840	0.02686	241659	0.02567	379723	0.05408	279043	0.02340	242137	0.03248	323097	0.03177	378712	0.03438	182112	0.01940	0	0.00000	336385	0.04452
Megaviricetes	2732523	C	461	0.00007	435	0.00006	800	0.00008	855	0.00008	884	0.00008	709	0.00007	689	0.00007	1008	0.00010	610	0.00007	3278	0.00035	1919	0.00019	430	0.00008	942	0.00010	1994	0.00021	678	0.00012	1809	0.00018	2377	0.00022	1096	0.00009	422	0.00004	1220	0.00010	693	0.00007	315	0.00006	1443	0.00015	801	0.00009	874	0.00009	840	0.00012	576	0.00005	535	0.00007	1657	0.00016	1413	0.00013	511	0.00005	0	0.00000	469	0.00006
Clostridia	186801	C	7331	0.00114	7581	0.00113	64100	0.00649	76499	0.00695	11159	0.00100	11857	0.00118	8848	0.00094	12609	0.00126	9295	0.00108	23061	0.00248	17109	0.00166	8023	0.00147	16167	0.00179	266805	0.02754	23720	0.00404	292243	0.02977	295203	0.02726	151675	0.01310	22027	0.00197	205937	0.01653	53096	0.00499	26840	0.00486	182020	0.01882	221106	0.02584	156766	0.01665	135404	0.01928	56740	0.00476	16939	0.00227	108572	0.01068	83755	0.00760	37252	0.00397	0	0.00000	16807	0.00222
Eurotiomycetes	147545	C	13276	0.00207	13533	0.00202	16637	0.00168	18417	0.00167	18001	0.00162	14768	0.00147	15391	0.00163	18959	0.00190	15465	0.00179	20589	0.00222	15775	0.00153	13284	0.00243	17989	0.00199	16894	0.00174	11913	0.00203	13272	0.00135	17729	0.00164	21401	0.00185	7922	0.00071	20813	0.00167	15382	0.00145	9945	0.00180	16890	0.00175	13801	0.00161	14358	0.00153	16327	0.00233	13509	0.00113	11722	0.00157	12959	0.00127	16760	0.00152	15207	0.00162	0	0.00000	20275	0.00268
Hydrogenophilalia	2008785	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	156	0.00002	0	0.00000	0	0.00000	31	0.00000	15	0.00000	22	0.00000	0	0.00000	82	0.00001	0	0.00000	0	0.00000	121	0.00001	0	0.00000	132	0.00001	291	0.00003	158	0.00003	221	0.00002	24	0.00000	215	0.00002	15	0.00000	72	0.00001	0	0.00000	50	0.00000	162	0.00001	166	0.00002	0	0.00000	0	0.00000
Filasterea	2687318	C	268	0.00004	304	0.00005	107	0.00001	104	0.00001	244	0.00002	257	0.00003	218	0.00002	158	0.00002	224	0.00003	113	0.00001	102	0.00001	161	0.00003	120	0.00001	114	0.00001	75	0.00001	134	0.00001	24	0.00000	284	0.00002	109	0.00001	185	0.00001	146	0.00001	74	0.00001	141	0.00001	256	0.00003	396	0.00004	49	0.00001	306	0.00003	111	0.00001	221	0.00002	175	0.00002	136	0.00001	0	0.00000	202	0.00003
Candidatus Sumerlaeia	2315419	C	29	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	32	0.00000	0	0.00000	52	0.00001	66	0.00001	54	0.00001	62	0.00001	58	0.00001	0	0.00000	0	0.00000	97	0.00001	26	0.00000	366	0.00003	103	0.00001	54	0.00001	221	0.00002	107	0.00001	179	0.00002	0	0.00000	13084	0.00110	58	0.00001	25	0.00000	174	0.00002	93	0.00001	0	0.00000	0	0.00000
Pilidiophora	6218	C	2858	0.00045	2893	0.00043	3782	0.00038	3962	0.00036	5761	0.00052	5000	0.00050	4816	0.00051	3536	0.00035	3416	0.00040	3357	0.00036	3076	0.00030	2431	0.00044	3754	0.00042	3909	0.00040	2360	0.00040	4541	0.00046	4771	0.00044	3636	0.00031	1434	0.00013	3456	0.00028	2722	0.00026	1577	0.00029	4062	0.00042	2186	0.00026	2315	0.00025	3612	0.00051	3264	0.00027	2869	0.00038	2785	0.00027	2703	0.00025	1761	0.00019	0	0.00000	2649	0.00035
Gammaproteobacteria	1236	C	57771	0.00902	52376	0.00781	89135	0.00902	99739	0.00907	237004	0.02132	321341	0.03193	127879	0.01358	156023	0.01562	265019	0.03075	93169	0.01002	84954	0.00825	76191	0.01393	219265	0.02427	628322	0.06486	248187	0.04230	418282	0.04261	516754	0.04772	1446930	0.12496	7834069	0.69933	2262500	0.18164	1940100	0.18241	401074	0.07262	949055	0.09814	1518458	0.17743	1797075	0.19091	341745	0.04867	3368935	0.28247	233216	0.03129	2233252	0.21959	813878	0.07389	454023	0.04836	0	0.00000	74331	0.00984
Anthozoa	6101	C	8257	0.00129	8361	0.00125	16384	0.00166	17880	0.00163	14428	0.00130	12132	0.00121	12243	0.00130	12848	0.00129	12774	0.00148	12770	0.00137	13397	0.00130	7900	0.00144	15395	0.00170	13175	0.00136	10152	0.00173	15292	0.00156	18281	0.00169	14582	0.00126	4650	0.00042	12794	0.00103	9178	0.00086	5322	0.00096	11220	0.00116	8317	0.00097	8420	0.00089	9859	0.00140	10766	0.00090	9122	0.00122	10774	0.00106	12197	0.00111	6336	0.00067	0	0.00000	8482	0.00112
Ichthyostraca	2172820	C	0	0.00000	0	0.00000	6248	0.00063	3758	0.00034	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1634	0.00030	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	427	0.00005	0	0.00000	0	0.00000
Blastocatellia	1562566	C	26	0.00000	11	0.00000	221	0.00002	273	0.00002	73	0.00001	53	0.00001	97	0.00001	130	0.00001	95	0.00001	74	0.00001	64	0.00001	263	0.00005	94	0.00001	471	0.00005	136	0.00002	292	0.00003	217	0.00002	173	0.00001	101	0.00001	438	0.00004	258	0.00002	874	0.00016	489	0.00005	352	0.00004	476	0.00005	98	0.00001	505	0.00004	43	0.00001	1366	0.00013	325	0.00003	492	0.00005	0	0.00000	63	0.00001
Sagittoidea	1421718	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00000	0	0.00000	0	0.00000	46	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	249	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Oligohymenophorea	6020	C	1568	0.00024	1669	0.00025	1559	0.00016	1835	0.00017	1707	0.00015	1375	0.00014	1295	0.00014	1525	0.00015	1617	0.00019	2406	0.00026	2972	0.00029	1040	0.00019	1976	0.00022	6062	0.00063	1201	0.00020	6095	0.00062	8111	0.00075	2625	0.00023	766	0.00007	3195	0.00026	1522	0.00014	1489	0.00027	4838	0.00050	3014	0.00035	2019	0.00021	4358	0.00062	1907	0.00016	1425	0.00019	4047	0.00040	4090	0.00037	1953	0.00021	0	0.00000	1468	0.00019
Methanococci	183939	C	180	0.00003	174	0.00003	264	0.00003	290	0.00003	1028	0.00009	862	0.00009	794	0.00008	404	0.00004	202	0.00002	1281	0.00014	697	0.00007	216	0.00004	356	0.00004	1732	0.00018	253	0.00004	2251	0.00023	3459	0.00032	1267	0.00011	266	0.00002	883	0.00007	814	0.00008	417	0.00008	1250	0.00013	569	0.00007	591	0.00006	537	0.00008	310	0.00003	249	0.00003	664	0.00007	490	0.00004	228	0.00002	0	0.00000	182	0.00002
Polintoviricetes	2842244	C	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
